Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog
,296.203827,-14.755259,17.967,,17.164,,16.598,,C,0.053282331,Kacharov
,296.181671,-14.7577,17.175,,16.282,,15.944,,C,0.065337992,Kacharov
,296.202637,-14.773767,17.296,,16.414,,15.714,,C,0.039080829,Kacharov
,296.194275,-14.821965,17.296,,16.408,,15.902,,C,0.041087257,Kacharov
,296.163879,-14.827393,17.105,,15.991,,15.211,,C,0.070948287,Kacharov
,296.170105,-14.844587,17.354,,16.234,,15.509,,C,0.073683648,Kacharov
,296.156158,-14.860965,17.108,,16.214,,15.634,,C,0.094702365,Kacharov
,296.171783,-14.865685,17.105,,16.145,,15.625,,C,0.086528257,Kacharov
,296.178711,-14.876316,18.07,,17.083,,16.72,,C,0.090568134,Kacharov
,296.155457,-14.878673,17.625,,16.429,,15.762,,C,0.107173322,Kacharov
,296.19754,-14.883656,17.866,,16.778,,16.2,,C,0.088177978,Kacharov
,296.201691,-14.886331,16.685,,15.619,,15.007,,C,0.089268608,Kacharov
,296.089813,-14.905375,17.896,,16.855,,16.316,,C,0.17437638,Kacharov
,296.17276,-14.922873,16.532,,15.67,,15.261,,C,0.13403949,Kacharov
,296.209412,-14.569217,17.453,,16.39,,15.66,,C,0.233362943,Kacharov
,296.040436,-14.607334,18.163,,17.085,,16.646,,C,0.271479264,Kacharov
,295.99939,-14.635953,17.817,,16.896,,16.458,,C,0.283977281,Kacharov
,296.021149,-14.796692,17.356,,16.289,,15.713,,C,0.208910317,Kacharov
,296.4646,-14.807542,17.144,,16.231,,15.567,,C,0.234673476,Kacharov
