,index,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,SpType,Ref,Rmag
0,0.0,296.18398,-14.78018,18.23,17.51,17.12,O,Whitelock,
1,1.0,296.25229,-14.78475,17.49,16.54,16.08,O,Whitelock,
2,2.0,296.20415,-14.63486,16.58,15.91,15.46,O,Whitelock,
3,3.0,296.22364,-14.77473,16.44,15.58,15.13,O,Whitelock,
4,4.0,296.21816,-14.88035,16.3,15.53,15.09,O,Whitelock,
5,5.0,296.21322,-14.68097,16.35,15.55,15.07,O,Whitelock,
6,6.0,296.20428,-14.74271,15.25,14.32,13.92,O,Whitelock,
7,7.0,296.25088,-14.76786,15.5,14.68,14.19,O,Whitelock,
8,8.0,296.18801,-14.87231,15.88,15.19,14.68,O,Whitelock,
9,9.0,296.26702,-14.76311,15.46,14.67,14.18,O,Whitelock,
10,10.0,296.21293,-14.73224,13.72,12.97,12.57,O,Whitelock,
11,11.0,296.20389,-14.75535,18.03,17.11,16.59,C,Whitelock,
12,12.0,296.23639,-14.83054,17.7,16.76,16.04,C,Whitelock,
13,13.0,296.18011,-14.71067,17.88,16.89,16.39,C,Whitelock,
14,14.0,296.28567,-14.73952,18.01,17.04,16.39,C,Whitelock,
15,15.0,296.21027,-14.75973,17.89,16.91,16.29,C,Whitelock,
16,16.0,296.18048,-14.80431,18.2,16.91,15.94,C,Whitelock,
17,17.0,296.17438,-14.83893,18.58,17.16,16.11,C,Whitelock,
18,18.0,296.29065,-14.69641,17.8,16.82,16.14,C,Whitelock,
19,19.0,296.17703,-14.71031,17.84,16.76,16.02,C,Whitelock,
20,20.0,296.21802,-14.92573,17.67,16.56,15.86,C,Whitelock,
21,21.0,296.23352,-14.80653,17.87,16.61,15.62,C,Whitelock,
22,22.0,296.27563,-14.74923,19.93,18.27,16.57,C,Whitelock,
23,23.0,296.19489,-14.82267,18.1,16.85,15.86,C,Whitelock,
24,24.0,296.17468,-14.79389,18.0,16.75,15.88,C,Whitelock,
25,25.0,296.30014,-14.87872,18.37,17.07,15.88,C,Whitelock,
26,26.0,296.22632,-14.72554,18.04,16.71,15.66,C,Whitelock,
27,27.0,296.19647,-14.70265,18.21,16.6,15.31,C,Whitelock,
28,28.0,296.30347,-14.74166,18.7,17.18,15.98,C,Whitelock,
29,29.0,296.17462,-14.78854,18.42,17.09,16.03,C,Whitelock,
30,30.0,296.19916,-14.8616,20.21,18.61,16.99,C,Whitelock,
31,31.0,296.21259,-14.80142,18.38,16.9,15.79,C,Whitelock,
32,32.0,296.18277,-14.74815,18.03,16.62,15.59,C,Whitelock,
33,33.0,296.21729,-14.77647,18.37,16.99,15.78,C,Whitelock,
34,34.0,296.22229,-14.90997,18.95,17.42,16.28,C,Whitelock,
35,35.0,296.22934,-14.65254,17.98,16.59,15.56,C,Whitelock,
36,36.0,296.24048,-14.84939,19.1,17.38,15.96,C,Whitelock,
